epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,988.308,0.97953,0.60132,0.87954,0.92566,0.92851,0.96149,0.74272,0.93677,0.63684,0.85216,0.000690022,0.000690022,0.000690022
75,1001.97,0.95353,0.59369,0.87681,0.92512,0.95657,0.97401,0.72489,0.97358,0.59453,0.86868,0.000687022,0.000687022,0.000687022
76,1015.92,0.9392,0.59497,0.87124,0.93745,0.94383,0.97809,0.73576,0.98404,0.5952,0.87063,0.000684022,0.000684022,0.000684022
77,1025.8,0.95753,0.57635,0.86643,0.94763,0.96328,0.98167,0.7393,1.0102,0.57525,0.86652,0.000681023,0.000681023,0.000681023
78,1039.99,0.91772,0.56988,0.86667,0.96323,0.95999,0.98455,0.72379,1.0223,0.58329,0.87694,0.000678023,0.000678023,0.000678023
79,1054,0.93919,0.59777,0.87144,0.94076,0.95516,0.97386,0.7068,1.00708,0.61863,0.87573,0.000675023,0.000675023,0.000675023
80,1065.29,0.97686,0.59321,0.87094,0.97066,0.96056,0.98101,0.72651,1.01179,0.59093,0.87608,0.000672024,0.000672024,0.000672024
81,1078.47,0.93902,0.57952,0.87798,0.94658,0.96745,0.98339,0.70558,1.05655,0.58913,0.8815,0.000669024,0.000669024,0.000669024
82,1092.24,0.93513,0.57766,0.87026,0.959,0.95968,0.97095,0.71569,0.99743,0.59283,0.86828,0.000666024,0.000666024,0.000666024
83,1102.86,0.90898,0.56497,0.86219,0.94845,0.95342,0.98209,0.72116,1.04278,0.59629,0.88128,0.000663025,0.000663025,0.000663025
84,1115.79,0.89577,0.55762,0.86919,0.93487,0.95968,0.97501,0.74938,0.94178,0.60441,0.86574,0.000660025,0.000660025,0.000660025
85,1132.96,0.93336,0.57046,0.85784,0.95023,0.94446,0.97778,0.72961,0.96363,0.60441,0.87248,0.000657025,0.000657025,0.000657025
86,1144.87,0.93889,0.57771,0.87334,0.97483,0.94906,0.98179,0.71791,1.03195,0.60773,0.87965,0.000654025,0.000654025,0.000654025
87,1157.35,0.92265,0.57637,0.85528,0.94902,0.9667,0.96394,0.69818,1.04825,0.6215,0.88674,0.000651026,0.000651026,0.000651026
88,1170.91,0.90153,0.55071,0.86704,0.94344,0.9609,0.97184,0.70839,0.99543,0.60508,0.87685,0.000648026,0.000648026,0.000648026
89,1183.7,0.92476,0.57597,0.86866,0.95327,0.97468,0.97133,0.70352,1.06091,0.61047,0.8904,0.000645026,0.000645026,0.000645026
90,1195.09,0.89851,0.55308,0.86462,0.92673,0.96043,0.97744,0.74096,0.93041,0.59189,0.85893,0.000642027,0.000642027,0.000642027
91,1208.53,0.91958,0.55574,0.86332,0.93243,0.96168,0.97922,0.71913,0.96996,0.60075,0.87415,0.000639027,0.000639027,0.000639027
92,1221.97,0.92253,0.56787,0.87082,0.93432,0.95297,0.974,0.74253,0.9289,0.56862,0.8595,0.000636027,0.000636027,0.000636027
93,1232.44,0.90015,0.55791,0.867,0.93668,0.94068,0.97192,0.75709,0.93926,0.5719,0.85559,0.000633028,0.000633028,0.000633028
94,1245.96,0.90215,0.54845,0.86997,0.95728,0.95548,0.97182,0.73757,0.9516,0.56414,0.86933,0.000630028,0.000630028,0.000630028
95,1260.25,0.89796,0.54514,0.86192,0.94347,0.97452,0.9805,0.73338,0.97268,0.58834,0.87331,0.000627028,0.000627028,0.000627028
